X,Y,Z,Rho,Beta,Alpha
1.90729668876,0.899975311619,0.568277895451,-1.21075498225,-0.0420050129708,-2.68300846927
1.91483501738,0.912062147795,0.568956255913,-1.23108228912,-0.0446971069429,-2.67676001085
1.92423058411,0.918595426195,0.538645029068,-1.24234446827,-0.038546347967,-2.67540505883
1.92389052547,0.904365577738,0.52785551548,-1.24112479494,-0.035654891529,-2.67524079415
1.9102356557,0.876215756217,0.507831335068,-1.2367128862,-0.0336572687097,-2.66812904066
1.88854612967,0.85355244512,0.492931723595,-1.23887393354,-0.0301881705244,-2.66567805022
1.86187205196,0.834550903664,0.476560235023,-1.23032062547,-0.0284162400613,-2.64814121562
1.83253977103,0.818524519076,0.470468044281,-1.21673908033,-0.0345923095161,-2.62744640712
1.80555311091,0.81315180344,0.45704805851,-1.19760217927,-0.0330058748605,-2.59528702862
1.77515008324,0.808058814413,0.455679893494,-1.18932624357,-0.0432056401533,-2.53132023426
1.74086427814,0.800092084453,0.455955505371,-1.18851980591,-0.0447550308954,-2.49699381315
1.70822846422,0.787882577688,0.451029539108,-1.1591904125,-0.0439762166954,-2.42747500615
1.67575280861,0.776511811402,0.445530176163,-1.13273955584,-0.0399816056509,-2.35462137941
1.64627186378,0.761459679108,0.443732619286,-1.09862206921,-0.0494676498901,-2.28033936452
1.61868181049,0.74285785979,0.450611591339,-1.06728045793,-0.0716196962299,-2.17138338516
1.59366482984,0.72511504542,0.453907966614,-1.05386485023,-0.0861203587675,-2.12193955571
1.56678690944,0.701559355786,0.468480110168,-1.02952905102,-0.108355417231,-2.04634089096
1.54450573361,0.679588253493,0.454734921455,-0.995778709028,-0.102639501553,-1.9643253246
1.52868944618,0.649829092467,0.435271382332,-0.942805170617,-0.0880406789699,-1.87861559513
1.50734533866,0.630528638427,0.415323734283,-0.898000026919,-0.0753652422343,-1.77102839278
1.48084750877,0.599563036662,0.393963217735,-0.843663681309,-0.0684953290272,-1.73178445594
1.45559904964,0.559286333208,0.395030856133,-0.728654803951,-0.0906360299364,-1.65413569379
1.42852813661,0.511609368079,0.373157978058,-0.653607055766,-0.0882295102269,-1.61771800237
1.40397676477,0.457697098297,0.359942793846,-0.578530162855,-0.102769521809,-1.54993712462
1.37220927416,0.421877705823,0.326794862747,-0.531719557688,-0.109576966337,-1.46842201831
1.33423971703,0.388628177871,0.306656002998,-0.503914662455,-0.110358820307,-1.43826677982
1.29180110177,0.366810270751,0.27275121212,-0.5092888924,-0.105566127012,-1.37012700666
1.25951522151,0.3606177449,0.246351838112,-0.513319030595,-0.0947499025149,-1.34897120701
1.2295625086,0.356747773426,0.222605466843,-0.512418418915,-0.0901945439261,-1.31811363694
1.17013776674,0.340638560415,0.185759186745,-0.465112339468,-0.0724935582175,-1.2753371018
1.13381521812,0.344603104904,0.176098942757,-0.438777357521,-0.0665617279047,-1.2512164006
1.07713293355,0.370268383529,0.173587322235,-0.389337525221,-0.0822932156903,-1.19973386246
1.03025209241,0.394699571734,0.172863841057,-0.380995435693,-0.0927321846955,-1.18665125859
0.97442627626,0.403852099115,0.165157914162,-0.357872682922,-0.115434753543,-1.13795827672
0.9213269499,0.399145252063,0.126323342323,-0.337732385417,-0.131669084828,-1.05600209978
0.898459830722,0.390375425141,0.107391476631,-0.333114585375,-0.140781069413,-1.01037395387
0.863486117221,0.354296900462,0.0743190050125,-0.317719250765,-0.141567467806,-0.917863322619
0.815108659136,0.316642090838,0.041486620903,-0.280962614105,-0.121432630208,-0.883456968637
0.7591088954,0.297513778926,0.0195186138153,-0.273798982858,-0.0963130364557,-0.846626857867
0.690466275701,0.275244843886,0.00193023681641,-0.250429987523,-0.079448400332,-0.798239836957
0.646877488693,0.263976368525,-0.00754690170288,-0.229697119943,-0.0619229718018,-0.758950791254
0.575328169939,0.251196480726,-0.018324971199,-0.186975402453,-0.0519517880595,-0.748131720595
0.518893439988,0.248325526449,-0.0255645513535,-0.151209192601,-0.037287340241,-0.765872846275
0.480699790415,0.229858515115,-0.0363483428955,-0.121080899722,-0.0109177663588,-0.76494757808
0.452816165419,0.180767947837,-0.0447763204575,-0.0846386874757,0.0128567153039,-0.723089472581
0.439717558391,0.164521135239,-0.045309305191,-0.0677909701001,0.0210288039304,-0.704416774654
0.427681541301,0.15355921027,-0.0308095216751,-0.0619280155497,0.0273760419075,-0.665472025562
0.421002431627,0.139766641613,0.000602006912231,-0.0556118993215,0.00433005356951,-0.635975522965
0.40369856998,0.124533433708,0.0266801118851,-0.0447323388018,-0.0188834626455,-0.593876800297
0.388322619273,0.118918710197,0.0560696125031,-0.0534343944774,-0.0539759834063,-0.556104715592
0.376676932078,0.119017078499,0.0648727416992,-0.0640288792255,-0.0694751415453,-0.525961510164
0.345740568807,0.126272351307,0.0693455934525,-0.061415182891,-0.0848265679801,-0.514654580248
0.316468978633,0.141209188612,0.0640344619751,-0.0551739223488,-0.0918915082704,-0.508874565603
0.282696382394,0.168420653414,0.0522272586823,-0.063922036128,-0.102120917828,-0.513001928117
0.24149760716,0.195979172215,0.0484191179276,-0.0759472665954,-0.0991059521166,-0.514005218549
0.211133765546,0.206333336193,0.0574513673782,-0.107753816138,-0.109819818549,-0.504688541153
0.156676345651,0.230903686736,0.0739464759827,-0.118886802166,-0.135755850183,-0.517877707071
0.129940179403,0.240216216074,0.0782581567764,-0.145627349679,-0.151915587926,-0.505251533017
0.0919609263154,0.251260841204,0.0757123231888,-0.148240920963,-0.164591024944,-0.497198385445
0.0512731874523,0.257756314269,0.0664460659027,-0.145510687752,-0.160256906844,-0.485854046491
0.0332654712268,0.242355843532,0.0746138095856,-0.140643684617,-0.157116611572,-0.467863260599
0.0170826838824,0.1959802543,0.0815763473511,-0.129475528721,-0.140166599263,-0.434659466396
-0.00579103010162,0.118084799075,0.106662750244,-0.111542439623,-0.152269249359,-0.384430938087
-0.0195768019305,0.054357934914,0.123204112053,-0.1062616677,-0.15940719336,-0.343269511004
-0.0216189126825,-0.00619595370888,0.148928284645,-0.12052846752,-0.178974594478,-0.302658647699
-0.00816595777954,-0.0453368735705,0.169066786766,-0.136440467039,-0.195918434787,-0.268101434063
-0.00151548182895,-0.0641909666519,0.170760393143,-0.155943802217,-0.204364066056,-0.250373586456
0.000703582799276,-0.069309368996,0.165346384048,-0.167553596311,-0.199594125685,-0.246562518057
-0.0018866745755,-0.0715425292388,0.148500561714,-0.158851988217,-0.187618698362,-0.24298766483
-0.00444214988049,-0.0839740841842,0.13417339325,-0.132495697859,-0.175888027976,-0.227401885944
-0.00273706096045,-0.0904502663193,0.117604970932,-0.116453873016,-0.168200560997,-0.215032787422
-0.00119122730425,-0.1058449317,0.104543328285,-0.0894675733384,-0.16718940195,-0.180213039328
-0.00180086817724,-0.12251128255,0.0844877958298,-0.0799651104855,-0.157836728574,-0.160344692619
-0.00125946722909,-0.136916052495,0.075141787529,-0.067907778662,-0.166922764745,-0.137150180346
-0.0043726532701,-0.145132342522,0.0635330677032,-0.0580126538909,-0.189161042679,-0.126956218933
-0.00805494287816,-0.141435155281,0.0646078586578,-0.0564512083298,-0.206827940077,-0.13265529321
-0.00781539954771,-0.134684534235,0.0585165023804,-0.0595929822316,-0.214092223826,-0.140464540893
-0.010941592432,-0.129956372164,0.0547751188278,-0.0623567290339,-0.220772910485,-0.149829897864
-0.0200114308989,-0.132232541575,0.0480179786682,-0.0575501753416,-0.211842618869,-0.151766406289
-0.0200114308989,-0.132232541575,0.0480179786682,-0.0633315864516,-0.200324193465,-0.157087754287
-0.0147187894185,-0.148893025865,0.0510909557343,-0.0695959019277,-0.192537410809,-0.142363719225
-0.00737907240578,-0.153902847582,0.0498332977295,-0.0810699153525,-0.185296989585,-0.139857467166
-0.00487806699446,-0.151748386845,0.0417218208313,-0.0837726245032,-0.176833205334,-0.141629097879
-0.00975089522623,-0.140792301447,0.037388086319,-0.0801010329557,-0.17799508755,-0.145219637798
-0.00975089522623,-0.140792301447,0.037388086319,-0.0880301206061,-0.183106107178,-0.130986204737
-0.0212134854599,-0.107708610681,0.0266975164413,-0.0787522995935,-0.175504497861,-0.146863151278
-0.0281181972282,-0.0952207561056,0.0199469327927,-0.0694731499925,-0.167425036192,-0.14770686685
-0.0329687317963,-0.0922044357382,0.0176025629044,-0.0486391493705,-0.161534325743,-0.140612872835
-0.0271212565152,-0.0945352661349,0.0172481536865,-0.0371100524203,-0.154818523837,-0.122380178056
-0.0271212565152,-0.0945352661349,0.0172481536865,-0.0371100524203,-0.154818523837,-0.122380178056
-0.0150699485213,-0.11093194319,0.0147435665131,-0.0314028379202,-0.156601467019,-0.0852580774814
-0.00818518281404,-0.126918456314,0.0159069299698,-0.0341346605997,-0.160925027289,-0.0611126399658
-0.00129291005155,-0.144310066766,0.0183963775635,-0.0357696017406,-0.162409447331,-0.0292074965774
0.00773742836018,-0.153917182665,0.0159392356873,-0.0309782823177,-0.160473646708,-0.00238456461563
0.00773742836018,-0.153917182665,0.0159392356873,-0.0309782823177,-0.160473646708,-0.00238456461563
0.0172224764146,-0.157864266981,0.0262140035629,-0.00539320042758,-0.149273021757,0.0184525585192
0.0147923494989,-0.158337101356,0.0300259590149,0.000580957431585,-0.146456059114,0.0149767155546
0.00831889991468,-0.150605473716,0.0293760299683,0.00748552197504,-0.13532642719,0.00600723025849
-0.00182986820922,-0.140397166602,0.0339801311493,0.0202595679704,-0.131250179287,-0.00260919882683
-0.00182986820922,-0.140397166602,0.0339801311493,0.0202595679704,-0.131250179287,-0.00260919882683
-0.0025471882193,-0.13424153039,0.0484752655029,0.0255003377438,-0.128108029622,-0.0144730609058
-0.0025471882193,-0.13424153039,0.0484752655029,0.0274116713108,-0.123252441873,-0.0266181867154
0.00779220841038,-0.124896112183,0.059720993042,0.0174982377937,-0.136950170274,-0.0515852341718
