X,Y,Z,Rho,Beta,Alpha
2.00019563008,1.00002680901,-0.272044062614,-0.997516056814,0.00167506433423,-3.14119022444
2.00019273316,1.0000197692,-0.271150112152,-0.997294303529,0.00179802334406,-3.14120002994
2.00017703581,1.0000089172,-0.269881725311,-0.997046493326,0.00170309599488,-3.14121395021
1.99707418597,0.996987787799,-0.256989121437,-0.996492156387,-0.00080625571508,-3.14099533376
1.98371668709,0.984874718099,-0.251816511154,-0.92409867331,0.00468016673579,-3.08944164463
1.96993437303,0.973251967288,-0.249538302422,-0.839016291285,0.0145703675242,-2.99925460296
1.94242337201,0.951676683962,-0.239897012711,-0.863243438427,0.00920606905275,-3.01281246125
1.89893144597,0.918932467143,-0.230250477791,-0.725036018821,0.0277114224248,-2.72846325451
1.87403582838,0.901087300667,-0.2264149189,-0.740764935753,0.025256827217,-2.74359928472
1.83323476807,0.872952469439,-0.218804478645,-0.710788393387,0.0376287656269,-2.51074984083
1.75956167863,0.824918430553,-0.207635641098,-0.763564723877,0.0467685593881,-2.22169569605
1.75956167863,0.824918430553,-0.207635641098,-0.763564723877,0.0467685593881,-2.22169569605
1.68134433426,0.776927493684,-0.196696996689,-0.819164361197,0.0572872468844,-1.89059642476
1.64927582909,0.757914617948,-0.192318201065,-0.811329832856,0.0551140158015,-1.91073501713
1.56849709961,0.71222618396,-0.18123793602,-0.7688487941,0.0699584850403,-1.56991363727
1.51954251483,0.685960515514,-0.174554586411,-0.717416324388,0.0761269797939,-1.39971122225
1.51954251483,0.685960515514,-0.174554586411,-0.717416324388,0.0761269797939,-1.39971122225
1.43746939425,0.643707213842,-0.163242220879,-0.661097209566,0.0780907634937,-1.1805425403
1.40484831779,0.627397227568,-0.15879380703,-0.63017468777,0.0823518826494,-1.01667061359
1.35627956851,0.60331200012,-0.152035474777,-0.536882314946,0.0885640072115,-0.790222925146
1.30786154631,0.579662074223,-0.145373344421,-0.418696345663,0.0949546313399,-0.68970674224
1.26083252545,0.556814270343,-0.138815641403,-0.36754187197,0.0937003587789,-0.698740396325
1.21442712355,0.534594358614,-0.13222360611,-0.100801816581,0.118284293125,-0.569599075757
1.16885535521,0.513560479948,-0.125648736954,-0.0506757418464,0.117652153068,-0.576177164984
1.09551242409,0.480743254776,-0.114595174789,0.234861345748,0.158283718491,-0.678527272301
